group,n_cells,marker,marker_type,mean_norm,median_norm,frac_nonzero
WANG_under1y,31914,SLC17A7,EN,0.5686283417119649,0.0,0.27555304881870024
WANG_under1y,31914,NEUROD2,EN,0.25773525997165325,0.0,0.15789308767312152
WANG_under1y,31914,NEUROD6,EN,0.014733161426162891,0.0,0.0069875289841448895
WANG_under1y,31914,RBFOX3,EN,0.3078483231725277,0.0,0.18029704831735288
WANG_under1y,31914,SATB2,EN,3.478134344987064,0.0,0.47906874725825654
WANG_under1y,31914,TBR1,EN,0.2080811838646358,0.0,0.12627686908566774
WANG_under1y,31914,GAD1,IN,1.3603691963420534,0.0,0.22836372751770384
WANG_under1y,31914,GAD2,IN,0.9369480368032805,0.0,0.16146518769192203
WANG_under1y,31914,SLC32A1,IN,0.15973210145232447,0.0,0.0700632951055963
WANG_under1y,31914,DLX2,IN,0.0294790558576541,0.0,0.01657579745566209
WANG_under1y,31914,LHX6,IN,0.922934068836607,0.0,0.3482797518330513
VEL_V3_prenatal,177186,SLC17A7,EN,0.40773039068280037,0.0,0.17675775738489496
VEL_V3_prenatal,177186,NEUROD2,EN,1.2444918917756593,0.0,0.3045669522422765
VEL_V3_prenatal,177186,NEUROD6,EN,0.0118906696693106,0.0,0.005666361902181888
VEL_V3_prenatal,177186,RBFOX3,EN,0.45750713294650397,0.0,0.17557820595306628
VEL_V3_prenatal,177186,SATB2,EN,14.497518138500453,8.29875518672199,0.6786879324551601
VEL_V3_prenatal,177186,TBR1,EN,0.21377224228161681,0.0,0.09925163387626562
VEL_V3_prenatal,177186,GAD1,IN,1.513105905350017,0.0,0.2150960008127053
VEL_V3_prenatal,177186,GAD2,IN,0.9082708320573399,0.0,0.15038998566478165
VEL_V3_prenatal,177186,SLC32A1,IN,0.03919084041549881,0.0,0.012754958066664409
VEL_V3_prenatal,177186,DLX2,IN,0.1055049848297398,0.0,0.029641168038106847
VEL_V3_prenatal,177186,LHX6,IN,0.8938840894370993,0.0,0.28047362658449315
VEL_V3_under1y,62711,SLC17A7,EN,0.8736221816686947,0.0,0.2959767823826761
VEL_V3_under1y,62711,NEUROD2,EN,0.6469483599742771,0.0,0.24233388081835722
VEL_V3_under1y,62711,NEUROD6,EN,0.012558108979857234,0.0,0.006904689767345442
VEL_V3_under1y,62711,RBFOX3,EN,0.6003031068711739,0.0,0.2504823715137695
VEL_V3_under1y,62711,SATB2,EN,8.421672788196016,4.734101309768029,0.6236864345968012
VEL_V3_under1y,62711,TBR1,EN,0.3206289585177971,0.0,0.12758527212131843
VEL_V3_under1y,62711,GAD1,IN,1.1727294193609952,0.0,0.22573392227838815
VEL_V3_under1y,62711,GAD2,IN,0.6880575028821135,0.0,0.13994355057326466
VEL_V3_under1y,62711,SLC32A1,IN,0.0800448377196943,0.0,0.03560778810734959
VEL_V3_under1y,62711,DLX2,IN,0.06395791702310487,0.0,0.021192454274369728
VEL_V3_under1y,62711,LHX6,IN,1.0467890431347202,0.0,0.3466696432842723
