,SLC17A7|EN,SATB2|EN,RBFOX3|EN,GAD1|IN,GAD2|IN,AQP4|Astro,GFAP|Astro,PLP1|Oligo,MOBP|Oligo,PDGFRA|OPC,CSF1R|Micro,DCX|Immature,subtype,age_years,cohort,n_cells,agebin,EN_marker_mean,contam_marker_mean,EN_minus_contam
Donor_1114__EN_L2_3_IT,4.209907368176026,6.15685799409144,6.343148269665499,2.1897733448304733,0.8929802789517454,2.3394555439554376,1.9124407259727065,4.24152669665555,2.406655417281693,0.0,0.0,3.9271623363408863,EN_L2_3_IT,35.0,PsychAD-V3,54,20+,5.569971210644321,1.7478540009559507,3.8221172096883707
Donor_1114__EN_L3_5_IT_2,4.674454682962776,6.372956370806435,5.867971785829212,2.0328584140534534,0.9779389901094095,1.6384967967101463,0.6040346230076465,3.9905948530304842,2.8673137458529827,0.0,0.6040346230076465,3.6242702472782238,EN_L3_5_IT_2,35.0,PsychAD-V3,32,20+,5.638460946532807,1.5894090057214711,4.049051940811336
Donor_1125__EN_L2_3_IT,4.237571912349019,5.832103212374176,6.138617781573197,1.6175049589501769,1.7814375290508302,2.6242997912767305,1.306619346014328,4.049042145676866,2.3657759859365584,0.2025098379317767,0.9444135207658366,4.049042145676866,EN_L2_3_IT,13.0,PsychAD-V3,148,10-20,5.402764302098798,1.861450389450388,3.54131391264841
Donor_1125__EN_L3_5_IT_1,4.861690204156411,6.277905626664553,5.492198843142146,2.5666963672201684,2.5666963672201684,2.19890693742639,0.8483797024468995,4.235971559488556,2.0385277443853567,0.0,1.300659671013371,3.220692651574587,EN_L3_5_IT_1,13.0,PsychAD-V3,27,10-20,5.543931557987704,1.9694797936501138,3.57445176433759
Donor_1125__EN_L3_5_IT_2,4.563450744756112,6.160696822550722,5.793400298629502,1.9683052732463113,1.2629585658625493,2.2334638026433757,0.7356318859790835,3.8269241567559193,2.692336438283505,0.30915002696976657,0.7356318859790835,3.271797299964999,EN_L3_5_IT_2,13.0,PsychAD-V3,77,10-20,5.505849288645446,1.7205502544649494,3.7852990341804964
Donor_1125__EN_L3_5_IT_3,4.95368232091247,5.772788449179943,6.539522670748553,1.930508826872574,1.6900520001299562,1.8174905040734302,1.166233946763002,3.8587805816619993,1.5439678510871049,0.9055347634383041,0.9055347634383041,3.1073713869407364,EN_L3_5_IT_3,13.0,PsychAD-V3,37,10-20,5.755331146946989,1.7272629046830843,4.028068242263904
Donor_1127__EN_L2_3_IT,3.8246545870918736,6.398778252448526,5.974882262805181,2.276731243615423,1.4537872537663712,1.681272409058352,2.157753304708289,4.553943533770405,2.7219701587245195,0.7386447274464532,0.7386447274464532,3.8482323375691263,EN_L2_3_IT,40.0,PsychAD-V3,69,20+,5.399438367448528,2.040343419817033,3.3590949476314944
Donor_1132__EN_L2_3_IT,4.113618430440843,6.1277073127761685,6.308285220765617,1.4319754599034449,1.2127584494450527,1.6957546008772073,1.109572701749754,2.6208823620002586,1.9599801698917119,0.19867912006236865,0.5390159840546332,3.4498583765575312,EN_L2_3_IT,12.0,PsychAD-V3,358,10-20,5.51653698799421,1.346077355998054,4.170459631996156
Donor_1139__EN_L2_3_IT,4.4599917463724275,6.067627162824813,6.039686461485959,1.5511342470052325,1.5511342470052325,2.0399560148438547,1.0926956528025746,3.9231125380681218,2.1322278025642296,1.172510096974948,0.8060021205383734,3.878000180752705,EN_L2_3_IT,10.0,PsychAD-V3,101,5-10,5.522435123561067,1.783596589975321,3.7388385335857457
Donor_1139__EN_L3_5_IT_2,4.812210407240493,6.1044697653068445,5.8645126960610385,0.9041850025440996,1.6882036901051904,0.9041850025440996,1.3711391618169402,3.9874468011665747,1.3711391618169402,1.3711391618169402,0.9041850025440996,3.199435684231626,EN_L3_5_IT_2,10.0,PsychAD-V3,21,5-10,5.5937309562027915,1.5627028730443606,4.03102808315843
Donor_1139__EN_L3_5_IT_3,4.806176931321603,5.932254406591338,6.291831835742537,1.679335039902324,1.679335039902324,2.2745948508746374,1.679335039902324,3.855179311415711,2.8665092579953018,0.0,0.6272198850132531,3.2358171054849714,EN_L3_5_IT_3,10.0,PsychAD-V3,31,5-10,5.676754391218492,1.8326885531257346,3.8440658380927575
Donor_1139__EN_L6_IT_1,4.589347742081619,6.343097361080069,6.393387155438186,1.898451007453474,1.898451007453474,2.252692825942115,0.665737104837016,3.7298953518914657,1.898451007453474,0.665737104837016,0.665737104837016,4.149952805663761,EN_L6_IT_1,10.0,PsychAD-V3,21,5-10,5.775277419533292,1.7093940643381311,4.065883355195161
Donor_1144__EN_L2_3_IT,4.336020018106874,6.0143374807230625,5.950216219501313,2.0561827620744313,1.8102634964131787,2.3253347682143644,1.3078003714815707,3.4554439453380943,1.9407636924864762,0.8233042000966528,1.1410406889415776,3.395391409808418,EN_L2_3_IT,16.0,PsychAD-V3,236,10-20,5.433524572777084,1.8575167406307933,3.5760078321462903
Donor_1152__EN_L2_3_IT,4.119881974687752,6.171474472484356,6.461558515071149,1.5838524804474436,1.2665204380533348,2.0708895992662293,1.5838524804474436,3.2492600485788707,2.180341791814538,0.09707167787517329,0.7027972458523812,3.9985338868450806,EN_L2_3_IT,18.0,PsychAD-V3,283,10-20,5.58430498741442,1.5918232202919267,3.9924817671224933
