dataset,individual,subtype,age,chem,subsource,ncells,log10_total,score_sum,score_mean
Velmeshev,5893,L2-3,18.994520547945207,V2,U01,260,6.440903102607275,1041.0770675322087,924.8079443917662
Velmeshev,5893,L4,18.994520547945207,V2,U01,235,6.316788649239519,992.4885445964753,859.3888683964904
Velmeshev,5893,L5,18.994520547945207,V2,U01,22,5.280981066857412,767.7952406036612,656.9900561511784
Velmeshev,5893,L6,18.994520547945207,V2,U01,105,6.001635076965589,791.7522152802884,668.6408237891304
Velmeshev,5936,L2-3,13.994520547945205,V2,U01,195,6.341504362221009,1026.494480661123,911.1762476418485
Velmeshev,5936,L4,13.994520547945205,V2,U01,107,5.880281827558124,1090.8875432293194,856.122763814434
Velmeshev,5936,L6,13.994520547945205,V2,U01,40,5.44258636978825,867.7363321817212,565.5780645068118
Velmeshev,5958,L2-3,21.994520547945207,V2,U01,133,5.850736882398386,1124.1345909172235,771.9116860922686
Velmeshev,5958,L4,21.994520547945207,V2,U01,168,6.228253772413462,1043.122295055751,892.8202137392935
Velmeshev,5976,L2-3,3.9945205479452053,V2,U01,149,5.846019627067046,1125.7203864483731,744.7584200626419
Velmeshev,5976,L4,3.9945205479452053,V2,U01,101,5.777369541042511,1166.280311497448,763.1680544163695
Velmeshev,5976,L6,3.9945205479452053,V2,U01,68,5.610115889631136,922.7218150993565,614.671730019015
Velmeshev,1798,L2-3,1.7835616438356163,V2,U01,167,5.49079534093479,1104.0744682551012,514.3041189747728
Velmeshev,1798,L4,1.7835616438356163,V2,U01,284,5.559638547924069,1114.1911252832188,435.8729276124242
Velmeshev,1798,L5,1.7835616438356163,V2,U01,68,4.721439617103788,868.8628724990583,263.09975314034864
Velmeshev,1798,L6,1.7835616438356163,V2,U01,153,5.159031513849653,902.8505059357325,276.44903293788104
Velmeshev,5608,L2-3,3.526027397260274,V2,U01,85,5.434287799002116,1104.2272298968776,679.4145758226201
Velmeshev,5608,L4,3.526027397260274,V2,U01,99,5.395586716955112,1048.8365173783845,588.4818113949302
Velmeshev,5608,L6,3.526027397260274,V2,U01,69,5.0813833174622856,916.0540029225232,382.6073010682668
Velmeshev,RL1613,L2-3,2.0712328767123287,V2,Herring,43,5.274815722689464,1222.3151577875944,802.0523606887467
Velmeshev,RL1613,L4,2.0712328767123287,V2,Herring,286,5.903614623433634,1180.0825737262035,688.6315104414149
Velmeshev,RL1613,L5,2.0712328767123287,V2,Herring,37,5.151103123192131,907.6871914235484,557.4375141424466
Velmeshev,RL1613,L5-6-IT,2.0712328767123287,V2,Herring,30,5.002848297036753,1049.7243145927162,619.414904939906
Velmeshev,RL1613,L6,2.0712328767123287,V2,Herring,179,5.725669927516347,948.9292221041185,527.7896271210768
Velmeshev,RL1614,L2-3,7.994520547945205,V2,Herring,91,5.696966768140209,1208.6387149540847,823.265064124691
Velmeshev,RL1614,L4,7.994520547945205,V2,Herring,54,5.437511159377366,1190.109930251418,778.6925498655716
Velmeshev,RL1614,L5,7.994520547945205,V2,Herring,66,5.441206377593687,858.0625810789815,536.4817968766755
Velmeshev,RL1614,L5-6-IT,7.994520547945205,V2,Herring,22,4.915595039159147,1056.2193228709184,611.7453662651424
Velmeshev,RL1614,L6,7.994520547945205,V2,Herring,214,5.847984550000223,951.9336147356375,519.2116853507297
Velmeshev,RL1786,L2-3,2.0712328767123287,V3,Herring,473,7.03638813050012,1135.3164462699385,1015.8437133478903
Velmeshev,RL1786,L4,2.0712328767123287,V3,Herring,121,6.411685013556108,1140.1685282269912,1036.6919754820021
Velmeshev,RL2102,L2-3,15.994520547945205,V3,Herring,1721,7.143742617502666,1135.7151830513499,906.5970115252323
Velmeshev,RL2102,L4,15.994520547945205,V3,Herring,186,6.1085741559974185,1130.6108094716542,867.3401039916033
Velmeshev,RL2105,L2-3,1.7123287671232876,V3,Herring,783,7.08327200987693,1102.7769677973724,976.4752155174176
Velmeshev,RL2105,L4,1.7123287671232876,V3,Herring,533,6.8989496735460225,1089.6811385102706,966.3040613422996
Velmeshev,RL2105,L5,1.7123287671232876,V3,Herring,42,5.695443148657882,795.5096167077373,598.3166917103607
Velmeshev,RL2105,L5-6-IT,1.7123287671232876,V3,Herring,22,5.597165154957647,962.3247226626047,877.2994255463751
Velmeshev,RL2105,L6,1.7123287671232876,V3,Herring,132,6.380168353013854,872.9185985132488,766.8994509876594
Velmeshev,RL2106,L2-3,6.494520547945205,V3,Herring,769,7.078905707383039,1133.3599488415157,1027.3630013277652
Velmeshev,RL2106,L4,6.494520547945205,V3,Herring,765,7.0143055643941725,1117.5356717264071,1004.1235429562461
Velmeshev,RL2106,L5,6.494520547945205,V3,Herring,77,6.01514255386335,815.8551650595028,696.2170299920407
Velmeshev,RL2106,L5-6-IT,6.494520547945205,V3,Herring,60,6.051187264616265,926.8819903288899,850.7832919104472
Velmeshev,RL2106,L6,6.494520547945205,V3,Herring,134,6.356253658551756,876.1890711811714,781.3942106048444
Velmeshev,RL2109,L2-3,3.9945205479452053,V3,Herring,291,6.832929655147029,1122.6063591622576,1048.2545406455956
Velmeshev,RL2109,L4,3.9945205479452053,V3,Herring,352,6.863347429784489,1102.9135382957593,1030.9201282322651
Velmeshev,RL2109,L5,3.9945205479452053,V3,Herring,49,6.002271921637859,801.7068516156005,727.835028862394
Velmeshev,RL2109,L5-6-IT,3.9945205479452053,V3,Herring,40,6.016419464692015,955.927951962267,890.3467020761531
Velmeshev,RL2109,L6,3.9945205479452053,V3,Herring,171,6.576392725240945,874.8194440915066,797.0619675811369
Velmeshev,RL2110,L2-3,9.994520547945205,V3,Herring,21,5.9770483240867796,1085.077453534823,1029.9292003196817
Velmeshev,RL2110,L4,9.994520547945205,V3,Herring,49,6.306421167138136,1019.0323518938931,997.017270816773
Velmeshev,RL2123,L2-3,19.994520547945207,V3,Herring,61,5.959665182783762,1087.3144872876248,922.5496514340076
Velmeshev,RL2123,L4,19.994520547945207,V3,Herring,65,6.002893597502058,1066.2218357471202,935.9127356637816
Velmeshev,RL2123,L5-6-IT,19.994520547945207,V3,Herring,30,5.653830701954438,937.6607325387429,785.4691289520115
Velmeshev,RL2123,L6,19.994520547945207,V3,Herring,189,6.39257016296348,826.4042586602551,662.1639762730282
Velmeshev,RL2125,L2-3,1.1506849315068493,V3,Herring,33,5.85744467468336,1088.022916603853,984.7249941230828
Velmeshev,RL2125,L4,1.1506849315068493,V3,Herring,30,5.374574226824472,1160.7257211402682,855.8738020018328
Velmeshev,RL2126,L2-3,9.994520547945205,V3,Herring,107,6.51650985751913,1118.7811114357407,1114.2554803598218
Velmeshev,RL2126,L4,9.994520547945205,V3,Herring,97,6.389992761013653,1150.7000100193713,1150.5182112338573
Velmeshev,RL2126,L6,9.994520547945205,V3,Herring,38,5.998054351895468,910.211770431801,876.7279022895772
Velmeshev,RL2127,L2-3,11.994520547945205,V3,Herring,88,6.588317095248569,1111.5203562277666,1135.1277660104158
Velmeshev,RL2127,L4,11.994520547945205,V3,Herring,65,6.345886150519735,1135.0210159322485,1145.3489023240118
Velmeshev,RL2127,L6,11.994520547945205,V3,Herring,93,6.347914211872047,838.8424803307896,770.7051820310232
Velmeshev,RL2128,L2-3,19.994520547945207,V3,Herring,183,6.763331165051375,1064.045123357831,1064.141758650885
Velmeshev,RL2128,L4,19.994520547945207,V3,Herring,145,6.552774526174261,1060.7341164960326,1052.412826838138
Velmeshev,RL2128,L5,19.994520547945207,V3,Herring,29,5.823127829243428,725.9978917946991,659.3273924065589
Velmeshev,RL2128,L5-6-IT,19.994520547945207,V3,Herring,23,5.938901816244221,887.3040205631837,893.9915387149565
Velmeshev,RL2128,L6,19.994520547945207,V3,Herring,46,6.073692695062007,814.6027560243629,789.0333397733173
Velmeshev,RL2129,L4,2.9945205479452053,V3,Herring,130,5.72743958443488,1064.3215421719574,672.6732391633465
Velmeshev,RL2129,L6,2.9945205479452053,V3,Herring,34,4.985610572325098,807.4561861797383,392.0765478617415
Velmeshev,RL2130,L6,13.994520547945205,V3,Herring,74,6.315337114876633,837.6427596376542,721.7308223308736
Velmeshev,RL2131,L2-3,16.994520547945207,V3,Herring,685,7.2480630848754295,1109.4010539771477,1072.7883497550192
Velmeshev,RL2131,L4,16.994520547945207,V3,Herring,273,6.799583410703199,1064.5810608884592,1020.365254599834
Velmeshev,RL2131,L5,16.994520547945207,V3,Herring,31,5.806482517545681,767.0528564365661,712.6677407173615
Velmeshev,RL2131,L5-6-IT,16.994520547945207,V3,Herring,31,5.7976227273957575,927.2821041271684,814.3473866237181
Velmeshev,RL2131,L6,16.994520547945207,V3,Herring,118,6.3782974019366145,833.3829094312479,734.0534988409518
Velmeshev,RL2132,L2-3,24.994520547945207,V3,Herring,1125,7.215387223485102,1169.7403804166354,1007.2372023727547
Velmeshev,RL2132,L4,24.994520547945207,V3,Herring,247,6.573917873112555,1125.5552149427976,1004.1706753322612
Velmeshev,RL2132,L5,24.994520547945207,V3,Herring,23,5.337003762082101,843.3666118515852,618.1979173706424
PsychAD,Donor_100,EN_L2_3_IT,21.0,V3,PSYCHAD,442,7.1729960990707955,1063.3540013813542,999.9966173492562
PsychAD,Donor_100,EN_L3_5_IT_2,21.0,V3,PSYCHAD,44,6.020220777260005,1111.4824486584332,1026.2005203325134
PsychAD,Donor_100,EN_L3_5_IT_3,21.0,V3,PSYCHAD,39,6.138471645335286,1021.230273028286,971.1017283586777
PsychAD,Donor_1152,EN_L2_3_IT,18.0,V3,PSYCHAD,283,6.991658116678408,1068.2867500568989,1018.1812625173195
PsychAD,Donor_1152,EN_L3_5_IT_1,18.0,V3,PSYCHAD,26,5.88007867026788,983.4276499730455,949.8302252560032
PsychAD,Donor_1152,EN_L3_5_IT_2,18.0,V3,PSYCHAD,63,6.208326048847411,1119.7626904008403,1052.4656286261518
PsychAD,Donor_1152,EN_L3_5_IT_3,18.0,V3,PSYCHAD,57,6.32568946951824,1028.7349653119265,1004.1690262675637
PsychAD,Donor_1159,EN_L2_3_IT,19.0,V3,PSYCHAD,25,6.054288552908092,1057.567856609733,1003.9898428808477
PsychAD,Donor_1185,EN_L2_3_IT,26.0,V3,PSYCHAD,182,6.686683717363661,974.9476383640902,922.799742231749
PsychAD,Donor_1185,EN_L3_5_IT_1,26.0,V3,PSYCHAD,25,5.639633885315905,882.5843682199528,796.902491453313
PsychAD,Donor_1185,EN_L3_5_IT_2,26.0,V3,PSYCHAD,28,5.643167330253651,1003.2180477837817,882.9601821460961
PsychAD,Donor_1185,EN_L3_5_IT_3,26.0,V3,PSYCHAD,43,5.960420828418221,946.1023184778093,858.3034383628266
PsychAD,Donor_1204,EN_L2_3_IT,18.0,V3,PSYCHAD,454,7.0212728410202985,1076.281018109514,969.9471303796897
PsychAD,Donor_1204,EN_L3_5_IT_2,18.0,V3,PSYCHAD,20,5.604692507015239,1156.1798443082625,1042.4144602287597
PsychAD,Donor_1204,EN_L3_5_IT_3,18.0,V3,PSYCHAD,32,5.885804901090275,1041.0287449644632,935.8955346292151
PsychAD,Donor_1242,EN_L2_3_IT,26.0,V3,PSYCHAD,59,6.46876266588881,1039.5694607018434,1015.9433555658821
PsychAD,Donor_1242,EN_L3_5_IT_1,26.0,V3,PSYCHAD,26,5.960250482520357,990.3548479054266,971.5221257651011
PsychAD,Donor_1242,EN_L3_5_IT_2,26.0,V3,PSYCHAD,54,6.267181822697984,1120.2167152989643,1110.9815172163
PsychAD,Donor_1242,EN_L3_5_IT_3,26.0,V3,PSYCHAD,63,6.4601980501167215,1011.0776932627467,1014.3948901846924
PsychAD,Donor_1330,EN_L2_3_IT,15.0,V3,PSYCHAD,32,5.610256550087056,969.9029700848598,706.9293233777826
PsychAD,Donor_1330,EN_L3_5_IT_1,15.0,V3,PSYCHAD,27,5.648418563593011,927.3699478869462,788.463885377156
PsychAD,Donor_1330,EN_L3_5_IT_2,15.0,V3,PSYCHAD,82,6.070832544830784,1015.8685024969429,881.5058148439684
PsychAD,Donor_1330,EN_L3_5_IT_3,15.0,V3,PSYCHAD,68,6.148711523227711,959.2725123827162,871.1684608358321
PsychAD,Donor_1355,EN_L2_3_IT,22.0,V3,PSYCHAD,286,7.076909564602596,1019.5563830659781,995.0373918481193
PsychAD,Donor_1406,EN_L2_3_IT,13.0,V3,PSYCHAD,327,7.086620542681461,1046.0708860198083,1002.58226924161
PsychAD,Donor_1406,EN_L3_5_IT_2,13.0,V3,PSYCHAD,24,5.739389570065316,1114.0483511199495,1029.9778415857045
PsychAD,Donor_1406,EN_L3_5_IT_3,13.0,V3,PSYCHAD,26,5.946207045403888,1022.022169415202,971.1368205065536
PsychAD,Donor_163,EN_L2_3_IT,13.0,V3,PSYCHAD,57,6.140977907835165,1052.6619619435323,891.8363965253361
PsychAD,Donor_163,EN_L3_5_IT_3,13.0,V3,PSYCHAD,24,5.570750697755022,1018.2515511849133,799.1586870783606
PsychAD,Donor_173,EN_L2_3_IT,24.0,V3,PSYCHAD,101,6.45412501114282,1013.0483902685271,889.4485302787291
PsychAD,Donor_180,EN_L2_3_IT,20.0,V3,PSYCHAD,197,6.836581640541207,988.4476629741868,946.5915536273901
PsychAD,Donor_180,EN_L3_5_IT_1,20.0,V3,PSYCHAD,56,6.246867475909535,923.8192724216956,867.9286200036124
PsychAD,Donor_180,EN_L3_5_IT_2,20.0,V3,PSYCHAD,91,6.389323642635551,1013.1821405298078,963.09146710117
PsychAD,Donor_180,EN_L3_5_IT_3,20.0,V3,PSYCHAD,100,6.532791820949622,944.1285557229279,890.8486541597645
PsychAD,Donor_240,EN_L6B,18.0,V3,PSYCHAD,24,5.988085165945853,770.7689752948195,710.8396264866834
PsychAD,Donor_267,EN_L2_3_IT,27.0,V3,PSYCHAD,47,6.2694258430960605,1011.5638429940909,993.4200130071983
PsychAD,Donor_314,EN_L2_3_IT,25.0,V3,PSYCHAD,94,6.722785899008147,1064.8753557932796,1043.2233427612307
PsychAD,Donor_314,EN_L3_5_IT_2,25.0,V3,PSYCHAD,20,5.999590701788309,1095.4104067723413,1102.7655865294091
PsychAD,Donor_314,EN_L3_5_IT_3,25.0,V3,PSYCHAD,21,6.065411266922108,999.7007015099175,958.8637030061836
PsychAD,Donor_364,EN_L2_3_IT,28.0,V3,PSYCHAD,156,6.504851705611526,1016.3074547608647,913.0115505093513
PsychAD,Donor_364,EN_L6_IT_1,28.0,V3,PSYCHAD,25,5.799923353676823,981.537106288552,909.7947642631624
PsychAD,Donor_412,EN_L2_3_IT,19.0,V3,PSYCHAD,98,6.5821974959887255,1030.676008729274,1008.1767951728333
PsychAD,Donor_412,EN_L3_5_IT_2,19.0,V3,PSYCHAD,32,6.083264265795258,1073.1496814290115,1067.1215785267011
PsychAD,Donor_412,EN_L3_5_IT_3,19.0,V3,PSYCHAD,28,6.031292098141618,1015.7219665252017,985.705475126739
PsychAD,Donor_412,EN_L6_CT,19.0,V3,PSYCHAD,22,5.902561998378356,815.7949462118006,744.4919361765158
PsychAD,Donor_472,EN_L2_3_IT,27.0,V3,PSYCHAD,172,6.588352282007906,1034.9846605645166,924.8696297517117
PsychAD,Donor_472,EN_L3_5_IT_1,27.0,V3,PSYCHAD,38,5.839230347189763,941.3191654146881,837.4488617239203
PsychAD,Donor_472,EN_L3_5_IT_2,27.0,V3,PSYCHAD,103,6.2845099148664945,1043.7278674507618,950.7266019582823
PsychAD,Donor_472,EN_L3_5_IT_3,27.0,V3,PSYCHAD,128,6.445873257963722,977.0513244785508,887.4118286486195
PsychAD,Donor_472,EN_L5_6_NP,27.0,V3,PSYCHAD,42,5.88114889815088,742.6931704916,627.0572540097398
PsychAD,Donor_472,EN_L6B,27.0,V3,PSYCHAD,20,5.57196607217932,868.0178664816677,701.9399487767123
PsychAD,Donor_472,EN_L6_CT,27.0,V3,PSYCHAD,47,5.989236177677845,794.1179493941827,692.7736775161457
PsychAD,Donor_472,EN_L6_IT_1,27.0,V3,PSYCHAD,48,6.131487458089059,1011.1658839818771,884.2998283400021
PsychAD,Donor_494,EN_L2_3_IT,26.0,V3,PSYCHAD,165,6.834369450093243,1012.4391362108852,962.9803058776952
PsychAD,Donor_494,EN_L3_5_IT_2,26.0,V3,PSYCHAD,50,6.219946113089054,1049.9838114858105,1029.7037586792794
PsychAD,Donor_494,EN_L3_5_IT_3,26.0,V3,PSYCHAD,83,6.516628304293641,971.3014184908054,946.1777076270009
PsychAD,Donor_494,EN_L6_IT_1,26.0,V3,PSYCHAD,36,6.313168202965515,1019.7839171521388,1012.1701222483993
PsychAD,Donor_577,EN_L6_CT,17.0,V3,PSYCHAD,20,5.570407493601808,766.3554102995184,671.8783198531312
PsychAD,Donor_666,EN_L2_3_IT,24.0,V3,PSYCHAD,40,6.260424168585515,939.5068714684181,929.3540778136162
PsychAD,Donor_752,EN_L2_3_IT,20.0,V3,PSYCHAD,248,6.852414783572698,1015.7572176738498,934.6821208103922
PsychAD,Donor_871,EN_L2_3_IT,28.0,V3,PSYCHAD,118,6.527631189577088,1046.7805396454182,1001.173447759789
PsychAD,Donor_871,EN_L3_5_IT_3,28.0,V3,PSYCHAD,23,5.717992360651178,995.6672060183018,915.3746717006367
PsychAD,Donor_959,EN_L2_3_IT,23.0,V3,PSYCHAD,60,5.935163523286051,1041.8711661659916,792.1712847086978
PsychAD,Donor_1092,EN_L2_3_IT,14.0,V3,PSYCHAD,89,6.2138329377381245,987.0512240830352,854.7722453312056
PsychAD,Donor_1092,EN_L3_5_IT_2,14.0,V3,PSYCHAD,21,5.589410026598102,1108.7747115354218,971.4790996646948
PsychAD,Donor_1092,EN_L3_5_IT_3,14.0,V3,PSYCHAD,25,5.712414816104081,1006.9739432386536,918.4841187334546
PsychAD,Donor_1113,EN_L2_3_IT,16.0,V3,PSYCHAD,148,6.7541283802087895,1040.0714606499703,1014.6532155642618
PsychAD,Donor_1113,EN_L3_5_IT_1,16.0,V3,PSYCHAD,29,5.9510610174165075,980.5199278540277,942.292428181216
PsychAD,Donor_1113,EN_L3_5_IT_2,16.0,V3,PSYCHAD,66,6.301055184013476,1086.3632281141668,1064.7173753521308
PsychAD,Donor_1113,EN_L3_5_IT_3,16.0,V3,PSYCHAD,49,6.323926228931994,995.221703347968,999.7259815458963
PsychAD,Donor_1125,EN_L2_3_IT,13.0,V3,PSYCHAD,148,6.648837569842406,1061.0989452926717,838.7630559070302
PsychAD,Donor_1125,EN_L3_5_IT_1,13.0,V3,PSYCHAD,27,5.8742393800925115,997.349040954797,899.4366622003628
